date,description,endtime,event_id,location,owner,speaker,starttime,summary,title,url,date_dt
2019-09-17,"Faculty Lounge, Fisher-Bennett Hall",5:30 PM,,"Faculty Lounge, Fisher-Bennett Hall 
",English Department,,4:30 PM,,Info Session on Sexual Harassment and Title IX Reporting for Instructors,https://www.english.upenn.edu/events/2019/09/17/info-session-sexual-harassment-and-title-ix-reporting-instructors,17-09-2019
2019-09-17,"Kelly Writers House

We invite you to the Writers House on Tuesday, September 17, at 6:30 PM for the first installation of our new series TIME SENSITIVE, featuring poet, artist, and art critic MARJORIE WELISH. Curated and hosted by Ethan Plaue and Rebecca N. Liu, Time Sensitive explores the time-making practices of poetry, performance, and multimedia art. The evening will begin with a reading by Welish, followed by a conversation moderated by Plaue and Liu centered around how Welish explores time in her work.
_________",9:00 PM,,"Kelly Writers House
",English Department,,6:30 PM,,Time Sensitive Reading Series: Marjorie Welish,https://www.english.upenn.edu/events/2019/09/17/time-sensitive-reading-series-marjorie-welish,17-09-2019
2019-09-18,"College Green

This series of lectures is organized by Simon Richter with support from College Dean Paul Sniegowski, these nano-talks comandeer Penn's 60-Second Lectures in order to draw multi-disciplinary attention to climate change and the issues it touches, 1.5º Celsius being the warming maximum named by the Paris Agreement to avoid the worst effects of climate change.",12:15 PM,,"College Green
",English Department,,12:00 PM,,1.5 Minute Climate Change Lecture Series,https://www.english.upenn.edu/events/2019/09/18/15-minute-climate-change-lecture-series,18-09-2019
2019-09-19,"Slought Foundation, 4017 Walnut Street

The event features films and ideas from Adam Diller, Leo Goldsmith, Cymene Howe, Ernst Karel, Shambhavi Kaul, Toby Lee, Peter Bo Rapmmund, Selmin Kara, Rizvana Bradley, Rea Tajiri, Deborah Thomas, and more to be announced!",7:00 PM,,"Slought Foundation, 4017 Walnut Street
",English Department,,4:00 PM,,Geosocial Encounters,https://www.english.upenn.edu/events/2019/09/19/geosocial-encounters,19-09-2019
2019-09-19,"Graduate Lounge of Fisher-Bennett Hall Room, 330

Join the Mods Graduate Group for a discussion of The Black Skyscraper: Architecture and the Perception of Race. Please contact Devin Daniels (devindan@sas.upenn.edu), Alex Millen (millen@sas.upenn.edu), or JS Wu (jswu@sas.upenn.edu) for a copy of the reading.",7:30 PM,,"Graduate Lounge of Fisher-Bennett Hall Room, 330
",English Department,,6:00 PM,,Mods,https://www.english.upenn.edu/graduate/working-groups/mods,19-09-2019
2019-09-20,"Humanities Conference Room, Room 623 Williams Hall 

The event features films and ideas from Adam Diller, Leo Goldsmith, Cymene Howe, Ernst Karel, Shambhavi Kaul, Toby Lee, Peter Bo Rapmmund, Selmin Kara, Rizvana Bradley, Rea Tajiri, Deborah Thomas, and more to be announced!",5:30 PM,,"Humanities Conference Room, Room 623 Williams Hall 
",English Department,,10:00 AM,,Geosocial Encounters,https://www.english.upenn.edu/events/2019/09/20/geosocial-encounters,20-09-2019
2019-09-25,"English Graduate Lounge, Fisher-Bennett Hall",6:00 PM,,"English Graduate Lounge, Fisher-Bennett Hall
",English Department,,4:30 PM,,Med/Ren,https://www.english.upenn.edu/graduate/working-groups/medren,25-09-2019
2019-09-26,"Fisher-Bennett Hall Faculty Lounge, Room 135

Please email David Buchanan (dbuchan@sas.upenn.edu) or Rovel Sequeira (rovelseq@sas.upenn.edu) to request a copy of the work-in-progress.",6:00 PM,,"Fisher-Bennett Hall Faculty Lounge, Room 135
",English Department,,4:30 PM,,Latitudes,https://www.english.upenn.edu/graduate/working-groups/latitudes,26-09-2019
2019-10-03,"Fisher-Bennett Hall, room 330 (Grad Lounge)

Please note change of date.",1:00 PM,,"Fisher-Bennett Hall, room 330 (Grad Lounge)
",English Department,,12:00 PM,,Lunch Meeting with Graduate Students and Prof. Geraldine Heng (University of Texas at Austin),https://www.english.upenn.edu/events/2019/10/03/lunch-meeting-graduate-students-and-prof-geraldine-heng-university-texas-austin,03-10-2019
2019-10-03,"Fisher-Bennett Hall, room 401

Please note change of date.",5:30 PM,,"Fisher-Bennett Hall, room 401
",English Department,,4:30 PM,,"Department Lecture: Prof. Geraldine Heng (University of Texas at Austin), ""A 9th Century Arab Dhow and Its Stories of Early Globalism: Art, World-Voyaging, and Industrial Modernity in the Global Middle Ages” ",https://www.english.upenn.edu/events/2019/10/03/department-lecture-prof-geraldine-heng-university-texas-austin-9th-century-arab,03-10-2019
2019-10-10,"Graduate Student Lounge of Fisher-Bennett Hall, Room 330

Please join Latitudes for a group discussion of two important works of literary criticism: Edward Said's canonical Culture and Imperialism and Hosam Aboul-Ela's recently published Domestications: American Empire, Literary Culture, and the Postcolonial Lens, which uses Said's text as a model to explore U.S. imperialism.",4:30 PM,,"Graduate Student Lounge of Fisher-Bennett Hall, Room 330
",English Department,,3:00 PM,,Latitudes,https://www.english.upenn.edu/graduate/working-groups/latitudes,10-10-2019
2019-10-11,"FBH

WIPs Sign-up for Wednesday, November 28, 2018 Deadline",(All day),,"FBH
",English Department,,(All day),,WIPs Sign-up Deadline,https://www.english.upenn.edu/events/2018/10/12/wips-sign-deadline,11-10-2019
2019-10-16,"Kelly Writers House Arts Cafe

Join us for a discussion with Paul Hendrickson, the award-winning and nationally best-selling author of Hemingway’s Boat and Sons of Mississippi, whose newest book about Frank Llyd Wright is an illuminating, pathbreaking biography that will change the way we understand the life, mind, and work of the premier American architect.",8:00 PM,,"Kelly Writers House Arts Cafe
",English Department,,6:00 PM,,Paul Hendrickson on Frank Lloyd Wright,https://www.english.upenn.edu/events/2019/10/16/paul-hendrickson-frank-lloyd-wright,16-10-2019
2019-10-17,TBA,(All day),,"TBA
",English Department,,(All day),,The Legacy of 1619: The 2019 Annual Callaloo Conference,https://www.english.upenn.edu/events/2019/10/17/legacy-1619-2019-annual-callaloo-conference,17-10-2019
2019-10-18,"Third Years and Faculty Committees
FBH

Dates for written and oral portions of Field Exams should be scheduled. Written Field Exams begin no sooner than 2 weeks before Thanksgiving and no later than last day of fall classes (Thursday, November 8- Monday, December 10, 2018). Oral portion of Field Exam takes place with 2 weeks of the written exam no later than Thursday, December 20, 2018.",(All day),,"FBH
",English Department,,(All day),,Field Exams Scheduled,https://www.english.upenn.edu/events/2018/10/19/field-exams-scheduled,18-10-2019
2019-10-18,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,Graduate Fall Language Exam,https://www.english.upenn.edu/events/2018/10/19/graduate-fall-language-exam,18-10-2019
2019-11-04,"Parkway Central Library1901 Vine Street
Paul Hendrickson’s books include Hemingway’s Boat: Everything He Loved in Life, and Lost, 1934–1961, a National Book Critics Circle Award finalist; Sons of Mississippi, winner of the National Book Critics Circle Award; and The Living and the Dead: Robert McNamara and Five Lives of a Lost War, a National Book Award finalist. A creative writing teacher at the University of Pennsylvania for more than 20 years and a feature writer at the Washington Post for the two decades before that, he has been nominated for the Pulitzer Prize six times.",9:00 PM,,Parkway Central Library1901 Vine Street,English Department,,7:30 PM,,Paul Hendrickson | Plagued by Fire: The Dreams and Furies of Frank Lloyd Wright,https://www.english.upenn.edu/events/2019/11/04/paul-hendrickson-plagued-fire-dreams-and-furies-frank-lloyd-wright,04-11-2019
2019-11-06,Fisher-Bennett Hall Room 401,6:30 PM,,"Philadelphia, PA 19103",English Department,,5:00 PM,,Med/Ren,https://www.english.upenn.edu/graduate/working-groups/medren,06-11-2019
2019-11-07,TBD,9:00 PM,,(between 19th and 20th Streets on the Parkway),English Department,,5:00 PM,,Poetry & Poetics,https://www.english.upenn.edu/graduate/working-groups/poetics,07-11-2019
2019-11-08,FBH,(All day),,"215-686-5322
",English Department,,(All day),,Kislak Fellowship Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2018/11/09/kislak-fellowship-due-ann-marie-pitts-12pm,08-11-2019
2019-11-08,"Third Years and Faculty Committees
FBH

Written Field Exams begin no sooner than 2 weeks before Thanksgiving and no later than last day of fall classes (Thursday, November 8- Monday, December 10, 2018). Oral portion of Field Exam takes place within 2 weeks of the written exam no later than Thursday, December 20, 2018.",(All day),,"Fisher-Bennett Hall Room 401
",English Department,,(All day),,Graduate Field Exams (Written),https://www.english.upenn.edu/events/2018/11/08/graduate-field-exams-written,08-11-2019
2019-11-18,"Penn Book Center
Join us for a discussion with Paul Hendrickson, the award-winning and nationally best-selling author of Hemingway’s Boat and Sons of Mississippi, whose newest book about Frank Lloyd Wright is an illuminating, pathbreaking biography that will change the way we understand the life, mind, and work of the premier American architect.",9:00 PM,,"TBD
",English Department,,6:30 PM,,Paul Hendrickson In Conversation with Witold Rybczynski,https://www.english.upenn.edu/events/2019/11/18/paul-hendrickson-conversation-witold-rybczynski,18-11-2019
2019-11-20,"Faculty and Students
Fisher-Bennett Hall Faculty Lounge",2:00 PM,,"FBH
",English Department,,12:00 PM,,Works-in-Progress Workshop for Fifth Years,https://www.english.upenn.edu/events/2018/11/28/works-progress-workshop-fifth-years,20-11-2019
2019-11-20,"Engliah Graduate Lounge, Fisher-Bennett Hall",6:00 PM,,"FBH
",English Department,,4:30 PM,,Med/Ren,https://www.english.upenn.edu/graduate/working-groups/medren,20-11-2019
2019-11-21,"Fisher-Bennett Hall Graduate Student Lounge, Room 330",7:30 PM,,Penn Book Center,English Department,,5:30 PM,,Mods,https://www.english.upenn.edu/graduate/working-groups/mods,21-11-2019
2019-12-04,"English Graduate Lounge, Fisher-Bennett Hall",6:00 PM,,130 S. 34th St.,English Department,,4:30 PM,,Med/Ren,https://www.english.upenn.edu/graduate/working-groups/medren,04-12-2019
2019-02-01,FBH,(All day),,"Philadelphia, PA 19104
",English Department,,(All day),,Critical Writing Graduate Teaching Fellowships Applications Due to Val Ross,https://www.english.upenn.edu/events/2019/02/01/critical-writing-graduate-teaching-fellowships-applications-due-val-ross,01-02-2019
2019-02-01,"FBH

SAS Dissertation Research Fellowships Due to Ann Marie Pitts by 12pm
(Students who expect to complete their dissertation in 2019-20 are ineligible)",(All day),,"Fisher-Bennett Hall Faculty Lounge
",English Department,,(All day),,Graduate SAS Dissertation Completion Fellowship,https://www.english.upenn.edu/events/2019/02/01/graduate-sas-dissertation-completion-fellowship,01-02-2019
2019-02-07,FBH,(All day),,"Engliah Graduate Lounge, Fisher-Bennett Hall
",English Department,,(All day),,"WIPs Sign-up for Wednesday, April 24, 2019 Deadline",https://www.english.upenn.edu/events/2019/02/15/wips-sign-wednesday-april-24-2019-deadline,07-02-2019
2019-02-07,FBH,(All day),,"Fisher-Bennett Hall Graduate Student Lounge, Room 330
",English Department,,(All day),,King’s College Fellowship Applications Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/02/01/king%E2%80%99s-college-fellowship-applications-due-ann-marie-pitts-12pm,07-02-2019
2019-02-07,"Graduate Admissions Committee
Fisher-Bennett Hall Faculty Lounge",3:00 PM,,"English Graduate Lounge, Fisher-Bennett Hall
",English Department,,10:00 AM,,Graduate Admissions Final Meeting,https://www.english.upenn.edu/events/2019/02/15/graduate-admissions-final-meeting,07-02-2019
2019-02-12,"Fisher-Bennett Hall Faculty Lounge

50-Book Exam Discussion (12-1pm)
(First Years)
Field Exam List Discussion (1-2pm)
(Second Years)",2:00 PM,,"FBH
",English Department,,12:00 PM,,50-Book and Field Exam Discussion,https://www.english.upenn.edu/events/2019/02/13/50-book-and-field-exam-discussion,12-02-2019
2019-02-15,FBH,(All day),,"FBH
",English Department,,(All day),,SAS Dissertation Completion Fellowship and SAS Dissertation Research Fellowships Due to Graduate Division,https://www.english.upenn.edu/events/2019/02/12/sas-dissertation-completion-fellowship-and-sas-dissertation-research-fellowships,15-02-2019
2019-02-19,"English Graduate Lounge, Fisher-Bennett Hall",6:00 PM,,"FBH
",English Department,,4:30 PM,,Med/Ren,https://www.english.upenn.edu/graduate/working-groups/medren,19-02-2019
2019-03-01,FBH,(All day),,"FBH
",English Department,,(All day),,Junior Research Seminar (JRS) Graduate Student Mentor Application due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/03/15/junior-research-seminar-jrs-graduate-student-mentor-application-due-ann-marie,01-03-2019
2019-03-04,"English Graduate Lounge, Fisher-Bennett Hall",6:00 PM,,"Fisher-Bennett Hall Faculty Lounge
",English Department,,4:30 PM,,Med/Ren,https://www.english.upenn.edu/graduate/working-groups/medren,04-03-2019
2019-03-13,FBH,(All day),,"Fisher-Bennett Hall Faculty Lounge
",English Department,,(All day),,50-Book Exam Committee Chair must be selected; notify Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/03/13/50-book-exam-committee-chair-must-be-selected-notify-ann-marie-pitts-12pm,13-03-2019
2019-03-17,"Faculty and Students
Fisher-Bennett Hall",(All day),,"FBH
",English Department,,(All day),,Graduate Recruitment Days,https://www.english.upenn.edu/events/2019/03/19/graduate-recruitment-visit-0,17-03-2019
2019-03-25,FBH,(All day),,"English Graduate Lounge, Fisher-Bennett Hall
",English Department,,(All day),,CTL Graduate Fellowship Application due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/03/25/ctl-graduate-fellowship-application-due-ann-marie-pitts-12pm,25-03-2019
2019-04-01,"English Graduate Longe, Fisher-Bennett Hall",6:00 PM,,"FBH
",English Department,,4:30 PM,,Med/Ren,https://www.english.upenn.edu/graduate/working-groups/medren,01-04-2019
2019-04-08,"Fisher-Bennett Hall Faculty Lounge

Town Hall to coordinate Department Speaker Series and Graduate Group Coordinators for 2019-20.",2:00 PM,,"English Graduate Lounge, Fisher-Bennett Hall
",English Department,,12:00 PM,,Graduate Student Town Hall - CANCELED,https://www.english.upenn.edu/events/2019/04/03/graduate-student-town-hall-canceled,08-04-2019
2019-04-12,Fisher-Bennett Hall,(All day),,"FBH
",English Department,,(All day),,50-Book Exam Lists Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/04/12/50-book-exam-lists-due-ann-marie-pitts-12pm,12-04-2019
2019-04-12,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,Graduate Spring Language Exams,https://www.english.upenn.edu/events/2019/04/12/graduate-spring-language-exams,12-04-2019
2019-04-19,Fisher-Bennett Hall,(All day),,"FBH
",English Department,,(All day),,Dissertation Proposals Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/04/19/dissertation-proposals-due-ann-marie-pitts-12pm,19-04-2019
2019-04-24,"Fisher-Bennett Hall, room 135 (Faculty Lounge)",2:00 PM,,"English Graduate Longe, Fisher-Bennett Hall
",English Department,,12:00 PM,,Works-in-Progress Workshop for Fifth Years,https://www.english.upenn.edu/events/2020/04/24/works-progress-workshop-fifth-years,24-04-2019
2019-04-26,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall Faculty Lounge
",English Department,,(All day),,Field Exam Proposals Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/04/26/field-exam-proposals-due-ann-marie-pitts-12pm,26-04-2019
2019-08-24,Faculty Offices,4:00 PM,,"Fisher-Bennett Hall
",English Department,,10:00 AM,,Graduate 50 Book Exams and Welcome Back,https://www.english.upenn.edu/events/2018/08/27/graduate-50-book-exams-and-welcome-back,24-08-2019
2019-08-24,Fisher-Bennett Hall Faculty Lounge (room 135),2:00 PM,,"Fisher-Bennett Hall
",English Department,,12:00 PM,,Graduate Orientation Luncheon ,https://www.english.upenn.edu/events/2018/08/27/graduate-orientation-luncheon,24-08-2019
2019-08-24,Graduate Lounge,9:00 PM,,"Fisher-Bennett Hall
",English Department,,5:00 PM,,Graduate 50-Book Exam Party,https://www.english.upenn.edu/events/2018/08/27/graduate-50-book-exam-party,24-08-2019
2019-09-04,FBH,(All day),,"Fisher-Bennett Hall, room 135 (Faculty Lounge)
",English Department,,(All day),,Graduate 50 Book Exams Reports due to Ann Marie Pitts,https://www.english.upenn.edu/events/2018/09/04/graduate-50-book-exams-reports-due-ann-marie-pitts,04-09-2019
2019-09-10,Log in with Penn Key for location details,9:30 PM,,"Fisher-Bennett Hall
",English Department,,7:00 PM,,Collation and Department Party,https://www.english.upenn.edu/events/2018/09/13/collation-and-department-party,10-09-2019
"Wednesday, October 9, 2019 - 12:00pm","Title: Unintelligent Decisions: Discovery in the Context of Guilty Pleas
Abstract:
Criminal discovery rules vary by state and by adjudication mode. Whereas some states have restrictive policies about what types of evidence be turned over to the defense and when, other states have adopted “open-file” discovery policies such that essentially the entire case file be made available to the defense. To some degree, open-file policies have been adopted as a response to reducing wrongful convictions and deterring prosecutor’s withholding of exculpatory evidence. In the context of trials, prosecutors must turn over exculpatory evidence to the defense; to not do so is considered misconduct (i.e., Brady violations). However, in the context of guilty pleas--which account for 95% of convictions--whether, and what forms of, exculpatory evidence need be disclosed is much less clear. In this presentation, Professor Redlich will present her program of research examining prosecutor and defendant plea decision-making under varying discovery policies.",01:00 PM,,"395 McNeil Building 
3718 Locust Walk
Philadelphia, PA 19104",Dapartment of Criminology,,12:00 PM,,Criminology Colloquium Series: Allison Redlich,https://crim.sas.upenn.edu/events/criminology-colloquium-series-allison-redlich,09-10-2019
"Wednesday, November 6, 2019 - 12:00pm",,01:00 PM,,"395 McNeil Building 
3718 Locust Walk
Philadelphia, PA 19104",Dapartment of Criminology,,12:00 PM,,Criminology Colloquium Series: Ojmarrh Mitchell,https://crim.sas.upenn.edu/events/criminology-colloquium-series-ojmarrh-mitchell,06-11-2019
"Wednesday, December 4, 2019 - 12:00pm",,01:00 PM,,"395 McNeil Building 
3718 Locust Walk
Philadelphia, PA 19104",Dapartment of Criminology,,12:00 PM,,Criminology Colloquium Series: Holly Nguyen,https://crim.sas.upenn.edu/events/criminology-colloquium-series-holly-nguyen,04-12-2019
"September 17, 2019, 5:30pm","Come join us for a talk by Professor Hugh Roberts, Edward Keller Professor of North African and Middle Eastern History, Tufts University, on the recent Algeria protests. Following his talk Professor Roberts will be in conversation with Deborah Harrolds, Senior Lecturer in Political Science, University of Pennsylvania, PhD candidate Vish Sakthivel, Oxford University and PhD candidate Austin Cooper, University of Pennsylvania.",06:30 PM,,,Middle East Center,,05:30 PM,,Algeria Protests: Why Now?,https://www.sas.upenn.edu/mec/events/2019/september/algeria-protests-why-now,17-09-2019
