date,description,endtime,event_id,location,owner,speaker,starttime,summary,title,url,date_dt
2019-05-07,"Parkway Central Library, 1901 Vine Street, Philadelphia, PA 19103

Event website: libwww.freelibrary.org/calendar/event/83359
Cost: FREE",8:30 PM,,"Parkway Central Library, 1901 Vine Street, Philadelphia, PA 19103
",English Department,,7:30 PM,,"Free Library of Philadelphia: Reading with Lorene Cary, ""Ladysitting: My Year with Nana at the End of Her Century""",https://www.english.upenn.edu/events/2019/05/07/free-library-philadelphia-reading-lorene-cary-ladysitting-my-year-nana-end-her,07-05-2019
2019-05-08,"Fisher-Bennett Hall Faculty Lounge, room 135

Orchid Tierney will be giving a talk based on her completed dissertation on Wednesday, May 8 at 11 am in FBH Faculty Lounge.  The title of her dissertation is Materials Poetics: Landfills and Waste Management in Contemporary Literature and Media. The talk will be followed by a discussion. Immediately after the discussion, we will celebrate Orchid getting her PhD and congratulate her on being appointed to a tenure-track position at Kenyon College, where she will be moving shortly.",1:00 PM,,"Fisher-Bennett Hall Faculty Lounge, room 135
",English Department,,11:00 AM,,Orchid Tierney Dissertation Talk and Celebration,https://www.english.upenn.edu/events/2019/05/08/orchid-tierney-dissertation-talk-and-celebration,08-05-2019
2019-05-08,"Fisher-Bennett Hall, room 330 (Grad Lounge)

Graduate students are invited to attend this important information session with Professor Dagmawi Woubshet, especially if you are planning on going on the job market next year (or applying for post-docs).",1:30 PM,,"Fisher-Bennett Hall, room 330 (Grad Lounge)
",English Department,,12:00 PM,,Job Placement Meeting,https://www.english.upenn.edu/events/2019/05/08/job-placement-meeting,08-05-2019
2019-05-15,"Fisher-Bennett Hall, room 135 (Faculty Lounge)

Public Portion from 10:30-12pm.
Celebration Toast from 12-1pm.",1:00 PM,,"Fisher-Bennett Hall, room 135 (Faculty Lounge)
",English Department,,10:30 AM,,"Dissertation Defense: Chris Mustazza, ""Speech labs: Language experiments, early poetry audio archives, and the poetic record""",https://www.english.upenn.edu/events/2019/05/15/dissertation-defense-chris-mustazza-speech-labs-language-experiments-early-poetry,15-05-2019
2019-05-18,"with Mike Murphy, Arielle Pardes, and Albert Sun; hosted by Sam Apple
Arts Cafe, Kelly Writers House, 3805 Locust Walk

sponsored by: the Povich Journalism Program
hosted by: Sam Apple
rsvp: whalumniweekend@writing.upenn.edu or (215) 746-POEM",5:00 PM,,"Arts Cafe, Kelly Writers House, 3805 Locust Walk
",English Department,,4:00 PM,,Covering Tech in the Digital Age,https://www.english.upenn.edu/events/2019/05/18/covering-tech-digital-age,18-05-2019
2019-05-20,"Fisher-Bennett Hall, 2nd floor reception area

Please join us and celebrate our graduating English and Cinema Studies seniors at the Post-Commencement Toast for Cinema Studies Program and English Department.  Families and friends are welcome.  We want to meet them!
Delicious food, chocolate-covered strawberries, and champagne! Join us to toast our Graduating English and Cinema Studies Seniors!",1:30 PM,,"Fisher-Bennett Hall, 2nd floor reception area
",English Department,,12:00 PM,,2019 Graduation Reception for Cinema & Media Studies and English Graduating Seniors,https://www.english.upenn.edu/events/2019/05/20/2019-graduation-reception-cinema-media-studies-and-english-graduating-seniors,20-05-2019
2019-07-22,"Fisher-Bennett Hall Faculty Lounge, room 135",5:00 PM,,"Fisher-Bennett Hall Faculty Lounge, room 135
",English Department,,3:00 PM,,Natalie Amleshi’s Dissertation Defense,https://www.english.upenn.edu/events/2019/07/22/natalie-amleshi%E2%80%99s-dissertation-defense,22-07-2019
2019-08-27,Faculty Offices,4:00 PM,,"Faculty Offices
",English Department,,10:00 AM,,Graduate 50 Book Exams and Welcome Back,https://www.english.upenn.edu/events/2018/08/27/graduate-50-book-exams-and-welcome-back,27-08-2019
2019-08-27,Fisher-Bennett Hall Faculty Lounge (room 135),2:00 PM,,"Fisher-Bennett Hall Faculty Lounge (room 135)
",English Department,,12:00 PM,,Graduate Orientation Luncheon ,https://www.english.upenn.edu/events/2018/08/27/graduate-orientation-luncheon,27-08-2019
2019-08-27,Graduate Lounge,9:00 PM,,"Graduate Lounge
",English Department,,5:00 PM,,Graduate 50-Book Exam Party,https://www.english.upenn.edu/events/2018/08/27/graduate-50-book-exam-party,27-08-2019
2019-09-04,FBH,(All day),,"FBH
",English Department,,(All day),,Graduate 50 Book Exams Reports due to Ann Marie Pitts,https://www.english.upenn.edu/events/2018/09/04/graduate-50-book-exams-reports-due-ann-marie-pitts,04-09-2019
2019-09-13,Log in with Penn Key for location details,9:30 PM,,"Log in with Penn Key for location details
",English Department,,7:00 PM,,Collation and Department Party,https://www.english.upenn.edu/events/2018/09/13/collation-and-department-party,13-09-2019
2019-10-10,"Fisher-Bennett Hall, room 330 (Grad Lounge)",1:00 PM,,"Fisher-Bennett Hall, room 330 (Grad Lounge)
",English Department,,12:00 PM,,Lunch Meeting with Graduate Students and Prof. Geraldine Heng (University of Texas at Austin),https://www.english.upenn.edu/events/2019/10/10/lunch-meeting-graduate-students-and-prof-geraldine-heng-university-texas-austin,10-10-2019
2019-10-10,"Fisher-Bennett Hall, room 401",5:30 PM,,"Fisher-Bennett Hall, room 401
",English Department,,4:30 PM,,"Department Lecture: Prof. Geraldine Heng (University of Texas at Austin), ""A 9th Century Arab Dhow and Its Stories of Early Globalism: Art, World-Voyaging, and Industrial Modernity in the Global Middle Ages” ",https://www.english.upenn.edu/events/2019/10/10/department-lecture-prof-geraldine-heng-university-texas-austin-9th-century-arab,10-10-2019
2019-10-12,"FBH

WIPs Sign-up for Wednesday, November 28, 2018 Deadline",(All day),,"FBH
",English Department,,(All day),,WIPs Sign-up Deadline,https://www.english.upenn.edu/events/2018/10/12/wips-sign-deadline,12-10-2019
2019-10-17,TBA,(All day),,"TBA
",English Department,,(All day),,The Legacy of 1619: The 2019 Annual Callaloo Conference,https://www.english.upenn.edu/events/2019/10/17/legacy-1619-2019-annual-callaloo-conference,17-10-2019
2019-10-19,"Third Years and Faculty Committees
FBH

Dates for written and oral portions of Field Exams should be scheduled. Written Field Exams begin no sooner than 2 weeks before Thanksgiving and no later than last day of fall classes (Thursday, November 8- Monday, December 10, 2018). Oral portion of Field Exam takes place with 2 weeks of the written exam no later than Thursday, December 20, 2018.",(All day),,"FBH
",English Department,,(All day),,Field Exams Scheduled,https://www.english.upenn.edu/events/2018/10/19/field-exams-scheduled,19-10-2019
2019-10-19,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,Graduate Fall Language Exam,https://www.english.upenn.edu/events/2018/10/19/graduate-fall-language-exam,19-10-2019
2019-11-08,"Third Years and Faculty Committees
FBH

Written Field Exams begin no sooner than 2 weeks before Thanksgiving and no later than last day of fall classes (Thursday, November 8- Monday, December 10, 2018). Oral portion of Field Exam takes place within 2 weeks of the written exam no later than Thursday, December 20, 2018.",(All day),,"FBH
",English Department,,(All day),,Graduate Field Exams (Written),https://www.english.upenn.edu/events/2018/11/08/graduate-field-exams-written,08-11-2019
2019-11-09,FBH,(All day),,"FBH
",English Department,,(All day),,Kislak Fellowship Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2018/11/09/kislak-fellowship-due-ann-marie-pitts-12pm,09-11-2019
2019-11-28,"Faculty and Students
Fisher-Bennett Hall Faculty Lounge",2:00 PM,,"Fisher-Bennett Hall Faculty Lounge
",English Department,,12:00 PM,,Works-in-Progress Workshop for Fifth Years,https://www.english.upenn.edu/events/2018/11/28/works-progress-workshop-fifth-years,28-11-2019
2019-02-01,FBH,(All day),,"FBH
",English Department,,(All day),,Critical Writing Graduate Teaching Fellowships Applications Due to Val Ross,https://www.english.upenn.edu/events/2019/02/01/critical-writing-graduate-teaching-fellowships-applications-due-val-ross,01-02-2019
2019-02-01,"FBH

SAS Dissertation Research Fellowships Due to Ann Marie Pitts by 12pm
(Students who expect to complete their dissertation in 2019-20 are ineligible)",(All day),,"FBH
",English Department,,(All day),,Graduate SAS Dissertation Completion Fellowship,https://www.english.upenn.edu/events/2019/02/01/graduate-sas-dissertation-completion-fellowship,01-02-2019
2019-02-15,FBH,(All day),,"FBH
",English Department,,(All day),,"WIPs Sign-up for Wednesday, April 24, 2019 Deadline",https://www.english.upenn.edu/events/2019/02/15/wips-sign-wednesday-april-24-2019-deadline,15-02-2019
2019-02-01,FBH,(All day),,"FBH
",English Department,,(All day),,King’s College Fellowship Applications Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/02/01/king%E2%80%99s-college-fellowship-applications-due-ann-marie-pitts-12pm,01-02-2019
2019-02-15,"Graduate Admissions Committee
Fisher-Bennett Hall Faculty Lounge",4:00 PM,,"Fisher-Bennett Hall Faculty Lounge
",English Department,,11:00 AM,,Graduate Admissions Final Meeting,https://www.english.upenn.edu/events/2019/02/15/graduate-admissions-final-meeting,15-02-2019
2019-02-13,"Fisher-Bennett Hall Faculty Lounge

50-Book Exam Discussion (12-1pm)
(First Years)
Field Exam List Discussion (1-2pm)
(Second Years)",2:00 PM,,"Fisher-Bennett Hall Faculty Lounge
",English Department,,12:00 PM,,50-Book and Field Exam Discussion,https://www.english.upenn.edu/events/2019/02/13/50-book-and-field-exam-discussion,13-02-2019
2019-02-12,FBH,(All day),,"FBH
",English Department,,(All day),,SAS Dissertation Completion Fellowship and SAS Dissertation Research Fellowships Due to Graduate Division,https://www.english.upenn.edu/events/2019/02/12/sas-dissertation-completion-fellowship-and-sas-dissertation-research-fellowships,12-02-2019
2019-03-15,FBH,(All day),,"FBH
",English Department,,(All day),,Junior Research Seminar (JRS) Graduate Student Mentor Application due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/03/15/junior-research-seminar-jrs-graduate-student-mentor-application-due-ann-marie,15-03-2019
2019-03-13,FBH,(All day),,"FBH
",English Department,,(All day),,50-Book Exam Committee Chair must be selected; notify Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/03/13/50-book-exam-committee-chair-must-be-selected-notify-ann-marie-pitts-12pm,13-03-2019
2019-03-19,"Faculty and Students
Fisher-Bennett Hall",(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,Graduate Recruitment Days,https://www.english.upenn.edu/events/2019/03/19/graduate-recruitment-visit-0,19-03-2019
2019-03-25,FBH,(All day),,"FBH
",English Department,,(All day),,CTL Graduate Fellowship Application due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/03/25/ctl-graduate-fellowship-application-due-ann-marie-pitts-12pm,25-03-2019
2019-04-03,"Fisher-Bennett Hall Faculty Lounge

Town Hall to coordinate Department Speaker Series and Graduate Group Coordinators for 2019-20.",2:00 PM,,"Fisher-Bennett Hall Faculty Lounge
",English Department,,12:00 PM,,Graduate Student Town Hall - CANCELED,https://www.english.upenn.edu/events/2019/04/03/graduate-student-town-hall-canceled,03-04-2019
2019-04-12,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,Graduate Spring Language Exams,https://www.english.upenn.edu/events/2019/04/12/graduate-spring-language-exams,12-04-2019
2019-04-12,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,50-Book Exam Lists Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/04/12/50-book-exam-lists-due-ann-marie-pitts-12pm,12-04-2019
2019-04-19,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,Dissertation Proposals Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/04/19/dissertation-proposals-due-ann-marie-pitts-12pm,19-04-2019
2019-04-24,"Fisher-Bennett Hall, room 135 (Faculty Lounge)",2:00 PM,,"Fisher-Bennett Hall, room 135 (Faculty Lounge)
",English Department,,12:00 PM,,Works-in-Progress Workshop for Fifth Years,https://www.english.upenn.edu/events/2020/04/24/works-progress-workshop-fifth-years,24-04-2019
2019-04-26,Fisher-Bennett Hall,(All day),,"Fisher-Bennett Hall
",English Department,,(All day),,Field Exam Proposals Due to Ann Marie Pitts by 12pm,https://www.english.upenn.edu/events/2019/04/26/field-exam-proposals-due-ann-marie-pitts-12pm,26-04-2019
"Tuesday, May 7, 2019 - 12:00pm",,"Tuesday, May 7, 2019 - 1:30pm",,"PCPSE Room 203 
          United States",Department of Economics,"Minji Bang

      University of Pennsylvania","Tuesday, May 7, 2019 - 12:00pm",,,https://economics.sas.upenn.edu/events/self-employment-decisions-and-household-risk-sharing,07-05-2019
"Tuesday, May 7, 2019 - 3:30pm",,"Tuesday, May 7, 2019 - 5:00pm",,"PCPSE Room 202  
          United States",Department of Economics,"Marc Remer 

      Swarthmore College","Tuesday, May 7, 2019 - 3:30pm",,,https://economics.sas.upenn.edu/events/consumer-inertia-and-market-power,07-05-2019
"Wednesday, May 8, 2019 - 11:00am",,"Wednesday, May 8, 2019 - 12:30pm",,"PCPSE Room 625 
          United States",Department of Economics,"Xiang Fang

      University of Pennsylvania","Wednesday, May 8, 2019 - 11:00am",,,https://economics.sas.upenn.edu/events/essays-foreign-exchange-rates,08-05-2019
"Thursday, May 9, 2019 - 12:00pm",,"Thursday, May 9, 2019 - 1:30pm",,"PCPSE Room 200 
          United States",Department of Economics,"Sumedh Ambokar

      University of Pennsylvania","Thursday, May 9, 2019 - 12:00pm",,,https://economics.sas.upenn.edu/events/mortgage-search-heterogeneity-and-refinancing-decisions,09-05-2019
"Thursday, May 9, 2019 - 3:30pm",,"Thursday, May 9, 2019 - 5:00pm",,"PCPSE Room 100 
          United States",Department of Economics,"Mushfiq Mobarak

      Yale","Thursday, May 9, 2019 - 3:30pm",,,https://economics.sas.upenn.edu/events/effects-emigration-rural-labor-markets,09-05-2019
"Friday, May 10, 2019 - 12:00pm",,"Friday, May 10, 2019 - 1:30pm",,"PCPSE Room 101 
          United States",Department of Economics,"Magdalena Rola-Janicka

      University of Amsterdam visiting Penn","Friday, May 10, 2019 - 12:00pm",,,https://economics.sas.upenn.edu/events/political-economy-regulating-fire-sales,10-05-2019
"Monday, May 13, 2019 - 12:00pm",,"Monday, May 13, 2019 - 1:30pm",,"PCPSE Room 202 
          United States",Department of Economics,"Youngsoo Heo

      University of Pennsylvania","Monday, May 13, 2019 - 12:00pm",,,https://economics.sas.upenn.edu/events/uncertainty-about-multiple-events-and-preference-simplicity,13-05-2019
"Tuesday, May 14, 2019 - 12:00pm",,"Tuesday, May 14, 2019 - 1:30pm",,"PCPSE Room 203 
          United States",Department of Economics,"Kian Samaee

      University of Pennsylvania","Tuesday, May 14, 2019 - 12:00pm",,,https://economics.sas.upenn.edu/events/empirical-micro-lunch-18,14-05-2019
"Monday, September 9, 2019 - 4:30pm",,"Monday, September 9, 2019 - 6:00pm",,"PCPSE Room TBD 
          United States",Department of Economics,"Yulong Wang

      Syracuse University","Monday, September 9, 2019 - 4:30pm",,,https://economics.sas.upenn.edu/events/econometrics-seminar-6,09-09-2019
"Monday, September 16, 2019 - 12:00pm",,"Monday, September 16, 2019 - 1:30pm",,"PCPSE Room TBD 
          United States",Department of Economics,"Chris Hansen

      Chicago Booth","Monday, September 16, 2019 - 12:00pm",,,https://economics.sas.upenn.edu/events/econometrics-lunch-2,16-09-2019
"Monday, September 16, 2019 - 4:30pm",,"Monday, September 16, 2019 - 6:00pm",,"PCPSE Room TBD 
          United States",Department of Economics,"Dacheng Xiu

      University of Chicago","Monday, September 16, 2019 - 4:30pm",,,https://economics.sas.upenn.edu/events/econometrics-seminar-8,16-09-2019
